timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
9616901,0.00217816,0.000151079,0.00106065,3999,0,0.431346,0.0217565,-9.71992,3999
9620901,0.00136896,-0.000405889,-0.00160647,4000,0,0.419308,0.0487428,-9.74273,4000
9624901,0.00167955,-0.00198971,-0.000420608,4000,0,0.432344,0.00498895,-9.73142,4000
9628901,0.00196295,0.00217115,0.0011448,4000,0,0.445487,0.00945095,-9.70962,4000
9640901,-3.4719e-05,0.000884078,-0.000571508,4000,0,0.444192,-0.00351544,-9.7171,4000
9644901,5.35531e-05,0.000253097,0.0008122,4000,0,0.432672,0.0314255,-9.71575,4000
9648901,-0.000385273,-0.0014379,0.00178306,4000,0,0.427183,0.0135025,-9.72653,4000
9652901,0.00262829,0.00503153,-0.000574651,4000,0,0.455504,-0.00775859,-9.70546,4000
9656901,0.000594312,0.0020535,-0.000151009,4000,0,0.433439,0.0494525,-9.73737,4000
9660901,0.000141615,-0.000793749,0.00221011,4000,0,0.417329,0.0503961,-9.76897,4000
9664905,0.00131464,-0.000266324,0.00190272,4004,0,0.442601,0.0057922,-9.73819,4004
9668903,3.91139e-05,0.00314012,0.00195786,3998,0,0.437802,0.0334966,-9.73372,3998
9672901,-0.000705079,0.00239333,0.0017416,3998,0,0.417758,0.054287,-9.76905,3998
9676902,-0.00166924,0.00186658,0.00215813,4001,0,0.442818,0.0155354,-9.71921,4001
9680901,0.00185149,0.00122059,0.00157793,3999,0,0.438238,0.0281544,-9.70081,3999
9684901,0.000271983,0.000249739,0.000393049,4000,0,0.413964,0.0636362,-9.73965,4000
9688901,0.00252126,0.000461257,-0.000426264,4000,0,0.418777,0.0295188,-9.70392,4000
9692908,0.00282053,0.00429948,0.000923696,4007,0,0.451297,0.0394653,-9.7112,4007
9696901,0.002205,0.00162069,-0.000869299,3993,0,0.41591,0.0575045,-9.7463,3993
9708901,-0.000716416,0.000802164,0.00260658,4000,0,0.415374,0.0322416,-9.76886,4000
9712902,-0.000568031,-0.00113713,0.000606924,4001,0,0.411943,0.00874285,-9.72188,4001
9716902,0.000817986,0.00194577,-0.000466509,4000,0,0.439736,-0.00060001,-9.70528,4000
9720908,0.00152742,0.00153662,0.00188528,4006,0,0.421874,0.0455624,-9.73034,4006
9732901,0.000928529,0.00151731,-0.000674829,3998,0,0.44971,0.0378327,-9.7336,3998
9744901,-0.000158181,0.000899944,0.000909829,3992,0,0.42224,0.0227051,-9.7114,3992
9748907,-0.000217589,0.000220579,-0.00259542,4006,0,0.417026,0.0485404,-9.72279,4006
9753702,0.00217916,0.00185641,-8.98443e-05,4795,0,0.429126,0.0354529,-9.72232,4795
9757702,-0.000284687,0.00356192,0.00205158,4000,0,0.450822,0.00332485,-9.71762,4000
9761701,-0.000154937,0.00163414,0.00037253,3999,0,0.434843,0.0431815,-9.73153,3999
9765701,-8.31821e-05,-0.00110491,0.00338016,4000,0,0.435561,0.0500581,-9.73815,4000
9769701,-0.00072652,0.000495546,0.00325158,4000,0,0.457193,-0.00459777,-9.72019,4000
9773701,-0.000594943,-0.00027215,0.00134389,4000,0,0.446991,0.0443214,-9.71422,4000
9777745,0.00114915,-0.000378522,-0.00171491,4044,0,0.426348,0.0446106,-9.76803,4044
9781701,0.00199365,0.0006456,-6.43425e-06,3956,0,0.447599,0.0194271,-9.72563,3956
9785701,0.00186581,0.00227674,0.000609096,4000,0,0.473987,0.0201216,-9.70122,4000
9789701,-0.00187069,0.0011096,0.00141554,4000,0,0.443968,0.0507661,-9.73431,4000
9793701,0.000812874,-0.000599117,-1.48555e-05,4000,0,0.457632,0.00256079,-9.715,4000
9797701,0.00153414,0.00132353,0.00114637,4000,0,0.454054,0.00765172,-9.70562,4000
9801701,0.00142498,0.00281576,0.00166127,4000,0,0.417955,0.0381893,-9.75223,4000
9805701,0.000258447,0.00271289,0.00175202,4000,0,0.410138,0.0266647,-9.73071,4000
9809701,0.0011021,0.00346152,0.00186638,4000,0,0.450259,0.0238296,-9.70677,4000
9813701,-0.000477227,0.0026968,0.000888933,4000,0,0.428895,0.0500589,-9.74451,4000
9817701,0.00011602,0.000857659,-0.00323171,4000,0,0.429918,0.0366679,-9.74815,4000
9821701,0.000180561,0.00279888,-0.000590411,4000,0,0.46519,0.0208628,-9.71272,4000
9825701,-0.000580832,0.00142226,0.000474715,4000,0,0.436351,0.0603802,-9.73644,4000
9829701,0.00275938,-0.000200185,-0.00222454,4000,0,0.418424,0.0577259,-9.74422,4000
9833701,0.00230119,0.00313056,0.000183671,4000,0,0.438297,0.000561553,-9.73242,4000
9837701,0.00136168,0.00140561,-0.00141243,4000,0,0.42656,0.0194554,-9.72197,4000
9841701,-0.000360479,0.000770768,-5.59791e-05,4000,0,0.423809,0.0372925,-9.73306,4000
9845701,0.00209012,-0.00230003,0.000232933,4000,0,0.427967,0.00263758,-9.70537,4000
9849701,0.00228448,0.00237632,0.000511255,4000,0,0.4341,0.0258389,-9.72008,4000
9865701,0.00261736,0.00216244,9.02254e-05,3998,0,0.427811,0.0316218,-9.74155,3998
9869703,0.00176568,0.000360295,0.000625465,4002,0,0.421067,-0.00770666,-9.72831,4002
9873701,0.000880079,0.00230055,0.00240698,3998,0,0.440139,0.0121992,-9.73211,3998
9877701,0.000668125,0.000161635,0.00242051,4000,0,0.421454,0.0639492,-9.76292,4000
9881701,0.000226835,-0.00162109,0.00381743,4000,0,0.406416,0.0350587,-9.76792,4000
9885702,-0.00038505,0.00186895,0.00175539,4001,0,0.434887,-0.00558915,-9.72675,4001
9889701,-0.0007842,0.000883893,-0.000266864,3999,0,0.438188,0.0441861,-9.73149,3999
9893701,0.00136696,-0.0015792,-0.00149022,4000,0,0.429783,0.0287666,-9.77287,4000
9897701,0.00100586,0.00143805,0.00145768,4000,0,0.451369,0.00377314,-9.74178,4000
9901703,0.00121511,0.00184979,0.000924247,4002,0,0.446357,0.0398248,-9.74335,4002
9905701,-4.73344e-05,-0.00134764,0.000403015,3998,0,0.436717,0.042401,-9.76104,3998
9909703,0.00207176,0.000366453,0.00116454,4002,0,0.439121,-0.0108742,-9.72615,4002
9913701,0.00209066,0.00162275,-0.000976845,3998,0,0.431054,0.0344851,-9.70979,3998
9917701,0.000957089,0.00011272,-0.00268325,4000,0,0.405743,0.0421741,-9.73339,4000
9921701,0.00124617,0.00163846,-0.000138566,4000,0,0.424534,0.0107951,-9.70313,4000
9925701,0.000477868,0.00153319,0.000809365,4000,0,0.443227,0.0230941,-9.68354,4000
9930502,-0.000502608,0.00204666,0.00110947,4801,0,0.434279,0.011658,-9.72324,4801
9934501,0.0029711,-0.000834746,-0.00210615,3999,0,0.424432,0.020534,-9.72995,3999
9938501,0.00405206,-0.000191329,-0.00263065,4000,0,0.443481,-0.0117651,-9.72306,4000
9942501,0.000419236,0.000223112,-0.00237218,4000,0,0.426219,0.0274192,-9.7301,4000
9946501,0.0013939,-0.0013815,-0.00330368,4000,0,0.411206,0.0642002,-9.70961,4000
9950501,0.00350042,-0.000183948,-0.00157054,4000,0,0.418508,0.00368132,-9.71645,4000
9954502,0.00282295,0.001841,0.000307701,4001,0,0.432594,0.00872877,-9.74564,4001
9958501,0.00242756,-0.000831226,-0.00126919,3999,0,0.421578,0.0573351,-9.73614,3999
9962501,0.00209497,0.000893711,9.44148e-05,4000,0,0.422463,0.0244984,-9.72284,4000
9966501,-0.00157146,0.00356566,0.0023548,4000,0,0.442854,0.0250043,-9.69509,4000
9970501,0.000487321,-0.000711521,0.000190933,4000,0,0.4305,0.0689942,-9.72799,4000
9974512,0.00156122,-0.00123908,3.17576e-06,4011,0,0.404283,0.0325772,-9.72128,4011
9978501,0.00295423,0.00140874,-0.000961981,3989,0,0.44161,0.00898541,-9.70249,3989
9982501,0.00222744,0.00159952,-0.00203405,4000,0,0.433233,0.0565778,-9.72688,4000
9986501,0.000188169,0.000455595,-0.000887686,4000,0,0.416932,0.0281452,-9.73869,4000
9990501,0.00218242,0.00196182,0.000512885,4000,0,0.442415,0.00651001,-9.72536,4000
9994501,0.00187374,0.00300483,-0.00035434,4000,0,0.431311,0.0494808,-9.72978,4000
9998501,0.00529585,-0.000611206,-0.000909545,4000,0,0.419978,0.0423945,-9.75359,4000
10002501,0.00369199,0.00270642,-0.000316237,4000,0,0.438028,0.00908799,-9.74394,4000
10006501,0.00292705,0.00184514,0.000620993,4000,0,0.438399,0.0372093,-9.7196,4000
10010501,0.00121228,-0.000482134,0.00190959,4000,0,0.406297,0.0391697,-9.73232,4000
10014501,0.00155679,0.00270334,6.9313e-05,4000,0,0.427322,0.0116011,-9.7322,4000
10018501,0.00151288,0.00175366,0.00230826,4000,0,0.442128,0.0354046,-9.71677,4000
10022501,-0.000588384,-0.00144625,0.00125166,4000,0,0.400551,0.0549791,-9.73402,4000
10026501,0.00176383,-0.000698553,0.000425974,4000,0,0.416091,0.0202638,-9.71332,4000
10030501,0.00227742,0.00377287,0.00134509,4000,0,0.4434,0.0352549,-9.73089,4000
10034501,0.00113261,0.000666807,-2.62859e-05,4000,0,0.416982,0.0375833,-9.75272,4000
10038504,0.000711486,-0.000382611,-0.000123774,4003,0,0.441126,0.0110395,-9.72669,4003
10042504,0.0018644,0.0015315,0.00072208,4000,0,0.459108,-0.00357359,-9.72361,4000
10046509,0.00179045,0.000445241,-0.00139265,4005,0,0.418903,0.0319391,-9.75017,4005
10050501,0.00134876,0.000666868,-0.000446303,3992,0,0.430496,0.0280897,-9.75911,3992
10054501,0.00518813,-0.000307258,-0.00260549,4000,0,0.444419,0.00574419,-9.73888,4000
10058501,0.0018885,0.000548021,-0.00118674,4000,0,0.426126,0.0544712,-9.76187,4000
10062535,0.00252032,-0.000173234,-0.00063198,4034,0,0.411658,0.0341024,-9.74132,4034
10066501,0.00208836,-0.00051798,0.000210279,3966,0,0.437512,-0.0181917,-9.74711,3966
10070501,0.000584469,0.000674907,0.000815936,4000,0,0.428434,0.0114569,-9.75762,4000
10074505,0.00171057,-0.00180193,-0.0030801,4004,0,0.400549,0.0374808,-9.76387,4004
10078501,0.00207184,-0.00165557,0.00107806,3996,0,0.418278,0.00294898,-9.73511,3996
10082501,0.00294646,0.0006598,-0.000846789,4000,0,0.433391,0.0226824,-9.7372,4000
10086504,0.000827233,0.000338277,-0.000988563,4003,0,0.412717,0.0590993,-9.75154,4003
10090501,0.00295956,-0.000288206,-0.00104959,3997,0,0.431799,0.0231796,-9.70982,3997
10094538,0.00152808,0.00303275,0.00220533,4037,0,0.449118,0.0324669,-9.71873,4037
10098501,0.000773594,0.00123029,0.00198092,3963,0,0.430415,0.0646546,-9.72561,3963
10102501,5.28779e-05,-0.00132613,0.00126097,4000,0,0.414876,0.0122073,-9.75757,4000
10107308,-0.00123301,-0.000154503,0.00253737,4807,0,0.427752,0.0115202,-9.73524,4807
10111301,0.000983888,0.00155313,0.00294597,3993,0,0.440132,0.034981,-9.72893,3993
10115301,0.00207372,0.000363201,0.00148006,4000,0,0.415618,0.0635355,-9.77957,4000
10119305,0.000934418,0.00247051,-0.00121317,4004,0,0.427813,0.0130278,-9.73993,4004
10123302,0.00262712,0.00290485,-0.000342783,3997,0,0.447906,0.0237247,-9.70775,3997
10127302,0.000845859,0.000547914,-0.00226169,4000,0,0.422876,0.0498768,-9.72504,4000
10131311,-0.000139992,2.27799e-05,-0.000570609,4009,0,0.431598,0.00908159,-9.71033,4009
10135303,0.00445876,0.000342157,-0.00146286,3992,0,0.447535,0.0245351,-9.71059,3992
10139308,0.00207426,0.000260339,0.00105836,4005,0,0.427303,0.0523533,-9.76408,4005
10143301,-0.000165661,-0.000482084,0.0013525,3993,0,0.427394,0.0158061,-9.74135,3993
10147303,0.00232481,0.00278272,-0.00183444,4002,0,0.443905,0.00542152,-9.73057,4002
10151302,-0.000452528,0.000880471,-0.000691091,3999,0,0.440754,0.0506268,-9.74004,3999
10155308,0.00254552,0.000442214,-0.00212884,4006,0,0.433371,0.0336527,-9.72523,4006
10159322,0.0017762,0.000655565,-0.000233682,4014,0,0.463474,0.00228124,-9.70704,4014
10163301,0.00241616,0.00238486,-0.000438114,3979,0,0.43628,0.0347281,-9.75034,3979
10167308,0.00104387,-0.000400285,-0.00139654,4007,0,0.4191,0.0290278,-9.76066,4007
10171301,0.000251132,0.000692558,0.00187917,3993,0,0.439753,0.00195892,-9.73819,3993
10175308,0.00153169,0.00398991,0.00186536,4007,0,0.446866,0.0425668,-9.73365,4007
10179302,-0.000499434,0.0010123,0.00197325,3994,0,0.434551,0.0598803,-9.74266,3994
10183311,0.000778986,0.000476426,0.00177989,4009,0,0.44359,-0.00435149,-9.71342,4009
10187301,-0.00058988,0.00355922,0.00109258,3990,0,0.455813,0.0198306,-9.72673,3990
10191302,0.000933187,-0.00124963,-0.00107242,4001,0,0.423658,0.0578027,-9.74464,4001
10195309,0.000616669,0.000236308,-0.00140855,4007,0,0.430283,0.0243142,-9.71575,4007
10199301,0.000494151,0.00141457,-0.000358806,3992,0,0.440914,0.0151043,-9.72212,3992
10203308,0.000832296,-0.0022121,-0.00138667,4007,0,0.416786,0.0571812,-9.7,4007
